term,is_vocab_term,confidence_score,original_url,preferred_label,alternative_label
abiotic environment,FALSE,0.8,https://soilwise-he.github.io/soil-health#AbioticEnvironment,abiotic environment,
abundance,FALSE,0.85,https://soilwise-he.github.io/soil-health#Abundance,abundance,
abundance of species populations,FALSE,0.85,https://soilwise-he.github.io/soil-health#AbundanceOfSpeciesPopulations,abundance of species populations,
acceptable risk levels,FALSE,0.95,https://soilwise-he.github.io/soil-health#AcceptableRiskLevels,acceptable risk levels,
accumulation in soil,FALSE,0.75,https://soilwise-he.github.io/soil-health#AccumulationInSoil,accumulation in soil,
acid forest soils,FALSE,0.85,https://soilwise-he.github.io/soil-health#AcidForestSoils,acid forest soils,
acid neutralization capacity,TRUE,0.97,https://soilwise-he.github.io/soil-health#AcidNeutralizationCapacity,acid neutralization capacity,
acidic precipitation,TRUE,0.85,https://soilwise-he.github.io/soil-health#AcidPrecipitation,acidic precipitation,
acidic pH,FALSE,0.95,https://soilwise-he.github.io/soil-health#AcidicpH,acidic pH,
acidification,TRUE,0.95,https://soilwise-he.github.io/soil-health#Acidification,acidification,
acidifiers,TRUE,0.95,https://soilwise-he.github.io/soil-health#Acidifiers,acidifiers,
acids,FALSE,0.7,https://soilwise-he.github.io/soil-health#Acids,acids,
actinomycetes amount,FALSE,0.8,https://soilwise-he.github.io/soil-health#ActinomycetesAmount,actinomycetes amount,
actinomycetes presence,FALSE,0.88,https://soilwise-he.github.io/soil-health#ActinomycetesPresence,actinomycetes presence,
action,FALSE,1,https://soilwise-he.github.io/soil-health#Action,action,
active soil life,FALSE,0.85,https://soilwise-he.github.io/soil-health#ActiveSoilLife,active soil life,
activity monitoring,FALSE,0.93,https://soilwise-he.github.io/soil-health#ActivityMonitoring,activity monitoring,
actual land use,FALSE,0.85,https://soilwise-he.github.io/soil-health#ActualLandUse,actual land use,
actual precompression stress,TRUE,0.9,https://soilwise-he.github.io/soil-health#ActualPrecompressionStress,actual precompression stress,
actual soil erosion rate,FALSE,0.9,https://soilwise-he.github.io/soil-health#ActualSoilErosionRate,actual soil erosion rate,
actual soil gas fluxes,FALSE,0.85,https://soilwise-he.github.io/soil-health#ActualSoilGasFluxes,actual soil gas fluxes,
actual soil heat fluxes,FALSE,0.93,https://soilwise-he.github.io/soil-health#ActualSoilHeatFluxes,actual soil heat fluxes,
actual soil stress,FALSE,0.85,https://soilwise-he.github.io/soil-health#ActualSoilStress,actual soil stress,
actual soil water fluxes,FALSE,0.9,https://soilwise-he.github.io/soil-health#ActualSoilWaterFluxes,actual soil water fluxes,
actual state,FALSE,0.92,https://soilwise-he.github.io/soil-health#ActualState,actual state,
actual water body use,FALSE,0.92,https://soilwise-he.github.io/soil-health#ActualWaterBodyUse,actual water body use,
additional inputs,FALSE,0.94,https://soilwise-he.github.io/soil-health#AdditionalInputs,additional inputs,
additional mechanical stress,FALSE,0.92,https://soilwise-he.github.io/soil-health#AdditionalMechanicalStress,additional mechanical stress,
additional stress,FALSE,0.95,https://soilwise-he.github.io/soil-health#AdditionalStress,additional stress,
adjacent locations,FALSE,0.95,https://soilwise-he.github.io/soil-health#AdjacentLocations,adjacent locations,
adjacent properties,FALSE,0.95,https://soilwise-he.github.io/soil-health#AdjacentProperties,adjacent properties,
adsorption,TRUE,0.95,https://soilwise-he.github.io/soil-health#Adsorption,adsorption,
affected land,FALSE,0.85,https://soilwise-he.github.io/soil-health#AffectedLand,affected land,
agent,FALSE,0.9,https://soilwise-he.github.io/soil-health#Agent,agent,
aggregate stability,TRUE,1,https://soilwise-he.github.io/soil-health#AggregateStability,aggregate stability,
agricultural area under severe erosion,FALSE,0.98,https://soilwise-he.github.io/soil-health#AgriculturalAreaUnderSevereErosion,agricultural area under severe erosion,
agricultural fields,FALSE,0.95,https://soilwise-he.github.io/soil-health#AgriculturalFields,agricultural fields,
agricultural intensification,FALSE,0.9,https://soilwise-he.github.io/soil-health#AgriculturalIntensification,agricultural intensification,
agricultural land,FALSE,0.83,https://soilwise-he.github.io/soil-health#AgriculturalLand,agricultural land,
agricultural land management,FALSE,0.85,https://soilwise-he.github.io/soil-health#AgriculturalLandManagement,agricultural land management,
agricultural land parcels,FALSE,0.91,https://soilwise-he.github.io/soil-health#AgriculturalLandParcels,agricultural land parcels,
agricultural land uses,FALSE,0.8,https://soilwise-he.github.io/soil-health#AgriculturalLandUses,agricultural land uses,
agricultural policies,FALSE,0.98,https://soilwise-he.github.io/soil-health#AgriculturalPolicies,agricultural policies,
agricultural potential,FALSE,0.85,https://soilwise-he.github.io/soil-health#AgriculturalPotential,agricultural potential,
agricultural practices,FALSE,0.95,https://soilwise-he.github.io/soil-health#AgriculturalPractices,agricultural practices,
agricultural soil management,FALSE,0.92,https://soilwise-he.github.io/soil-health#AgriculturalSoilManagement,agricultural soil management,
agricultural soils,TRUE,0.85,https://soilwise-he.github.io/soil-health#AgriculturalSoils,agricultural soils,agricultural soil
agricultural subsidies,FALSE,1,https://soilwise-he.github.io/soil-health#AgriculturalSubsidies,agricultural subsidies,
agriculture,FALSE,0.98,https://soilwise-he.github.io/soil-health#Agriculture,agriculture,
air,FALSE,0.95,https://soilwise-he.github.io/soil-health#Air,air,
